≥ı ºx,MSE_3,5,7,9,MAE_3,5,7,9
16174,2.721210115,1.534717112,1.511589534,1.037930507,1.429375048,1.000152134,1.040132119,0.829932943
15140,4.355939714,1.044547949,0.991053301,0.865034262,1.907535256,0.846258458,0.765507466,0.756422094
16746,3.700244945,1.980444055,1.321522105,1.055529692,1.592400617,1.134854653,0.995583563,0.915327585
16051,4.684737358,1.446164412,1.502919407,0.952391605,1.997197118,1.037360585,0.957947236,0.810634212
16491,4.029850387,1.285502749,1.102735845,0.953465298,1.70357685,0.950292905,0.92653524,0.760682186
16519,3.907890718,2.040044268,0.79629063,0.79180121,1.777672002,1.244543488,0.694615079,0.718656994
15931,2.89434541,1.187211188,0.784607049,1.131029414,1.43346278,0.901797814,0.734863083,0.872461285
18002,2.008737286,2.096210204,1.533087107,1.366563689,1.219661813,1.223173392,1.030252534,0.950687175
17888,3.781515222,1.908857123,1.537248592,1.186624071,1.659424621,1.061195408,1.023053116,0.865466997
16659,3.931868928,1.282851441,1.9148187,0.917099206,1.755292037,0.912425396,1.20220101,0.80840941
,,,,,,,,
,3.601634008,1.58065505,1.299587227,1.025746895,1.647559814,1.031205424,0.937069045,0.828868088
